name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HKPP23,0.90309,0.451545,0,1.80618,0.90309,0.450417,0.00225574,1.80392
HKPP24,0.90309,0.451545,0,1.80618,0.90309,0.451514,6.2234e-05,1.80612
HKPP25,0.90309,0.451545,0,1.80618,0.90309,0.45099,0.00110928,1.80507
HKPP26,0.90309,0.451545,0,1.80618,0.90309,0.450566,0.00195706,1.80422
HKPP27,0.90309,0.451545,0,1.80618,0.90309,0.451513,6.48413e-05,1.80612
HKPP28,0.90309,0.451545,0,1.80618,0.90309,0.447973,0.00714333,1.79904
HKPP29,0.90309,0.451545,0,1.80618,0.90309,0.451505,8.03825e-05,1.8061
HKPP30,0.90309,0.451545,0,1.80618,0.90309,0.450549,0.00199177,1.80419
HKPP31,0.90309,0.451545,0,1.80618,0.90309,0.450468,0.0021548,1.80403
HKPP32,0.90309,0.451545,0,1.80618,0.90309,0.45056,0.00196941,1.80421
HKPP33,0.90309,0.451545,0,1.80618,0.90309,0.444639,0.0138111,1.79237
HKPP34,0.90309,0.451545,0,1.80618,0.90309,0.451318,0.000454827,1.80573
HKPP35,0.90309,0.451545,0,1.80618,0.90309,0.450932,0.00122524,1.80495
HKPP36,0.90309,0.451545,0,1.80618,0.90309,0.450998,0.00109443,1.80509
HKPP37,0.90309,0.451545,0,1.80618,0.90309,0.451052,0.000986641,1.80519
HKPP38,0.90309,0.451545,0,1.80618,0.90309,0.445784,0.0115225,1.79466
HKPP39,0.90309,0.451545,0,1.80618,0.90309,0.448849,0.00539148,1.80079
HKPP40,0.90309,0.451545,0,1.80618,0.90309,0.44779,0.00751047,1.79867
HKPP41,0.90309,0.451545,0,1.80618,0.90309,0.44933,0.00442948,1.80175
HKPP42,0.90309,0.451545,0,1.80618,0.90309,0.449106,0.00487709,1.8013
HKPP43,0.90309,0.451545,0,1.80618,0.90309,0.451388,0.000314736,1.80587
HKPP44,0.90309,0.451545,0,1.80618,0.90309,0.450467,0.00215563,1.80402
HKPP45,0.90309,0.451545,0,1.80618,0.90309,0.446734,0.00962167,1.79656
HKPP46,0.90309,0.451545,0,1.80618,0.90309,0.444315,0.0144606,1.79172
HKPP47,0.90309,0.451545,0,1.80618,0.90309,0.447461,0.00816706,1.79801
HKPP48,0.90309,0.451545,0,1.80618,0.90309,0.450021,0.00304791,1.80313
HKPP49,0.90309,0.451545,0,1.80618,0.90309,0.450999,0.00109187,1.80509
HKPP50,0.90309,0.451545,0,1.80618,0.90309,0.451077,0.000935959,1.80524
HKPP51,0.90309,0.451545,0,1.80618,0.90309,0.450281,0.00252894,1.80365
HKPP52,0.90309,0.451545,0,1.80618,0.90309,0.446875,0.00934035,1.79684
HKPP53,0.90309,0.451545,0,1.80618,0.90309,0.447711,0.00766734,1.79851
HKPP54,0.90309,0.451545,0,1.80618,0.90309,0.4501,0.00289003,1.80329
HKPP55,0.90309,0.451545,0,1.80618,0.90309,0.451443,0.000204878,1.80598
HKPP56,0.90309,0.451545,0,1.80618,0.90309,0.451228,0.000633556,1.80555
HKPP57,0.90309,0.451545,0,1.80618,0.90309,0.450282,0.00252503,1.80365
HKPP58,0.90309,0.451545,0,1.80618,0.90309,0.4495,0.00409049,1.80209
HKPP59,0.90309,0.451545,0,1.80618,0.90309,0.448597,0.00589551,1.80028
HKPP60,0.90309,0.451545,0,1.80618,0.90309,0.450319,0.00245143,1.80373
HKPP61,0.90309,0.451545,0,1.80618,0.90309,0.45099,0.0011096,1.80507
HKPP62,0.90309,0.451545,0,1.80618,0.90309,0.451103,0.000883371,1.8053
HKPP63,0.90309,0.451545,0,1.80618,0.90309,0.449077,0.00493576,1.80124
HKPP64,0.90309,0.451545,0,1.80618,0.90309,0.447952,0.0071851,1.79899
HKPP65,0.90309,0.451545,0,1.80618,0.90309,0.449667,0.00375505,1.80242
HKPP66,0.90309,0.451545,0,1.80618,0.90309,0.451345,0.000399317,1.80578
HKPP67,0.90309,0.451545,0,1.80618,0.90309,0.451533,2.31227e-05,1.80616
HKPP68,0.90309,0.451545,0,1.80618,0.90309,0.451396,0.000297244,1.80588
HKPP69,0.90309,0.451545,0,1.80618,0.90309,0.450611,0.00186817,1.80431
HKPP70,0.90309,0.451545,0,1.80618,0.90309,0.451155,0.000779137,1.8054
